projectName,unitName,epShort,samplingStartDate,plot,clipPlotNo,clipPlotMat,bagNo,grossDryWt_g,bagWt_g
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,7,2,Grass,1,79.2,46.2
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,7,2,Forbs/Herbaceous,1,11.7,5.8
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,8,2,Grass,1,12.4,5.8
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,9,2,Forbs/Herbaceous,1,7.6,5.8
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,9,2,Grass,1,9,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,9,2,Shrubs,1,8.6,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,10,2,Shrubs,1,10.7,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,11,2,Forbs/Herbaceous,1,7.8,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,11,2,Grass,1,11,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,12,2,Shrubs,1,8,5.8
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,16,2,Grass,1,15.4,6
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,18,2,Grass,1,10,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,18,2,Forbs/Herbaceous,1,7,5.8
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,18,2,Grass,1,215.9,45.6
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,1,Forbs/Herbaceous,1,11.59,6.7
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,1,Shrubs,1,104.79,45.3
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,1,Grass,1,28.9,6.92
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,1,Grass,1,84.89,45.73
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,1,Shrubs,1,84.4,46.02
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,1,Shrubs,1,79.68,45.66
