projectName,unitName,epShort,samplingStartDate,plot,transectNo,transectLength_ft,burned_ft,green_ft,mineralsoil_ft
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,2,66,62,4,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,2,66,62,4,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,3,66,60,6,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,2,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,2,66,57,9,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,3,66,51,15,0
