projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
Washington DNR Pilot Project,Oak Creek,16,W,4,SF,38,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,W,2,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,18,E,11,SF,21,FM,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,18,N,6,SF,12,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,18,S,9,SF,19,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,18,W,13,SF,36,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,19,E,13,SF,37,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,19,N,9,SF,18,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,19,S,5,SF,25,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,19,W,25,SF,78,WR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,20,E,4,SF,9,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,20,N,16,SF,31,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,20,S,4,SF,10,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,20,W,4,SF,2,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,7,N,5,GR,18,GR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,7,W,6,GR,16,GR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,3,N,12,LP,1,LP,Mineral soil,,#REF!
Washington DNR Pilot Project,Upper Rendezvous 1,4,N,24,LP,10,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,4,W,20,LP,8,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,5,E,21,LP,76,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,5,N,43,LP,29,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,5,S,35,LP,37,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,5,W,29,LP,68,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,6,E,20,LP,29,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,6,N,16,LP,34,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,6,S,32,LP,56,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,6,W,65,LP,86,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,8,N,12,MH,3,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,10,E,7,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,10,S,42,LP,16,LP,Log,,
Washington DNR Pilot Project,Upper Rendezvous 1,11,N,15,LP,15,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,11,S,8,LP,20,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,12,N,53,LP,21,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,12,W,17,LP,18,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,13,N,8,LP,13,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,14,E,6,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,14,N,20,LP,36,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,14,S,33,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,15,S,18,LP,14,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,15,W,8,LP,5,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,18,E,80,LP,140,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,18,N,35,LP,86,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,18,S,24,LP,88,LP,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,13,W,15,MH,36,MH,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,3,E,2,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,3,W,4,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,4,S,9,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,10,N,4,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,10,W,2,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,11,E,9,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,15,E,16,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,15,N,6,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,16,N,3,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,16,S,2,GR,0,ND,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,2,E,21,SF,11,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,2,N,19,SF,4,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,3,S,21,LP,8,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,4,E,16,LP,11,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,8,E,14,SF,52,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,8,S,12,LP,58,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,9,N,110,SF,25,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,13,E,7,SF,49,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,16,W,3,SF,4,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,17,E,3,LP,6,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,17,S,3,LP,78,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,19,S,30,MH,42,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,20,E,8,SF,34,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,20,S,15,LP,13,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,20,W,13,LP,32,SF,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,1,E,0,NS,185,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,1,N,11,LP,104,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,1,S,12,LP,119,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,1,W,9,LP,14,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,2,S,38,LP,12,WR,Log,,
Washington DNR Pilot Project,Upper Rendezvous 1,2,W,55,SF,32,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,7,E,0,NS,55,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,7,S,3,GR,10,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,8,W,25,MH,114,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,9,E,6,SF,2,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,9,S,9,SF,45,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,9,W,115,SF,30,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,11,W,14,LP,118,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,12,E,16,LP,64,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,12,S,9,MH,98,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,13,S,0,NS,129,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,14,W,44,LP,45,WR,Log,,
Washington DNR Pilot Project,Upper Rendezvous 1,16,E,14,LP,168,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,17,N,5,SF,52,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,17,W,5,LP,120,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,18,W,12,LP,118,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,19,E,21,LP,65,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,19,N,16,LP,26,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,19,W,3,LP,77,WR,Mineral soil,,
Washington DNR Pilot Project,Upper Rendezvous 1,20,N,11,SF,22,WR,Mineral soil,,
,Canteen,2,S,4,GR,11,GR,Mineral soil,,
,Canteen,18,W,16,GR,6,GR,Mineral soil,,
